"GEOCODIGO","Populacao_2010","Porte","Capital"
1100015,24392,"Pequeno II",
1100023,90353,"Médio",
1100031,6313,"Pequeno I",
1100049,78574,"Médio",
1100056,17029,"Pequeno I",
1100064,18591,"Pequeno I",
1100072,8783,"Pequeno I",
1100080,13678,"Pequeno I",
1100098,28729,"Pequeno II",
1100106,41656,"Pequeno II",
1100114,52005,"Médio",
1100122,116610,"Grande",
1100130,31135,"Pequeno II",
1100148,19874,"Pequeno I",
1100155,37928,"Pequeno II",
1100189,33822,"Pequeno II",
1100205,428527,"Grande","Capital"
1100254,22319,"Pequeno II",
1100262,3316,"Pequeno I",
1100288,50648,"Médio",
1100296,8886,"Pequeno I",
1100304,76202,"Médio",
1100320,21828,"Pequeno II",
1100338,22546,"Pequeno II",
1100346,16853,"Pequeno I",
1100379,12816,"Pequeno I",
1100403,17135,"Pequeno I",
1100452,32383,"Pequeno II",
1100502,10240,"Pequeno I",
1100601,5736,"Pequeno I",
1100700,12665,"Pequeno I",
1100809,19779,"Pequeno I",
1100908,3575,"Pequeno I",
1100924,8301,"Pequeno I",
1100940,15854,"Pequeno I",
1101005,10512,"Pequeno I",
1101104,8566,"Pequeno I",
1101203,10352,"Pequeno I",
1101302,11878,"Pequeno I",
1101401,14091,"Pequeno I",
1101435,7493,"Pequeno I",
1101450,4810,"Pequeno I",
1101468,2315,"Pequeno I",
1101476,3524,"Pequeno I",
1101484,6018,"Pequeno I",
1101492,16035,"Pequeno I",
1101500,11629,"Pequeno I",
1101559,4888,"Pequeno I",
1101609,10649,"Pequeno I",
1101708,12974,"Pequeno I",
1101757,9384,"Pequeno I",
1101807,8210,"Pequeno I",
1200013,12538,"Pequeno I",
1200054,6072,"Pequeno I",
1200104,21398,"Pequeno II",
1200138,8471,"Pequeno I",
1200179,8798,"Pequeno I",
1200203,78507,"Médio",
1200252,15100,"Pequeno I",
1200302,32412,"Pequeno II",
1200328,6577,"Pequeno I",
1200336,15206,"Pequeno I",
1200344,7981,"Pequeno I",
1200351,14227,"Pequeno I",
1200385,17209,"Pequeno I",
1200393,9176,"Pequeno I",
1200401,336038,"Grande","Capital"
1200427,14389,"Pequeno I",
1200435,4691,"Pequeno I",
1200450,20179,"Pequeno II",
1200500,38029,"Pequeno II",
1200609,35590,"Pequeno II",
1200708,16091,"Pequeno I",
1200807,14880,"Pequeno I",
1300029,14088,"Pequeno I",
1300060,9467,"Pequeno I",
1300086,10214,"Pequeno I",
1300102,16317,"Pequeno I",
1300144,18007,"Pequeno I",
1300201,15153,"Pequeno I",
1300300,32135,"Pequeno II",
1300409,25718,"Pequeno II",
1300508,27355,"Pequeno II",
1300607,33411,"Pequeno II",
1300631,15486,"Pequeno I",
1300680,14979,"Pequeno I",
